direction,model,source,reference,output
eng_to_trg,gemini-flash,"In this resonance, magnetic field and radio waves cause atoms to give off tiny radio signals.","g-d-ay ˤrezonans, ˤmidan ˤmağnatisi inan ˤamwajət ˤradio god ˤatome ˤsəgnalət ˤradio zore ˤpaltilu",b-ay resònans| xəylət ay-măqnatis-wa gal-măwjet ay-ràdyo| godí ki-atòmne xà-zor xăbăret ay-ràdyo hwì.|
eng_to_trg,llama-70b,"In this resonance, magnetic field and radio waves cause atoms to give off tiny radio signals.","g-d-ay ˤrezonans, ˤmidan ˤmağnatisi inan ˤamwajət ˤradio god ˤatome ˤsəgnalət ˤradio zore ˤpaltilu","b-haqi hdi, mezētā d-magnoyo w-radyo xəylāx Causew l-ātəmā l-maqyāx śənāy xəylāx rad-yoyət kəxəyxā."
eng_to_trg,gpt-4o,"For that reason, everything you see on the TV had the borders cut, top, bottom and sides.","bod-d-o mohona kud məndiğ xazetun ˤb-televizyon ˤhašye ˤqətyelu, reša, xela, inan gabe","tawa gírtawa, kullú mà xzílət áy teléwèzí pèšèkta ḥūdòdà, réšá, pagrá yà madína."
eng_to_trg,claude-sonnet,"For that reason, everything you see on the TV had the borders cut, top, bottom and sides.","bod-d-o mohona kud məndiğ xazetun ˤb-televizyon ˤhašye ˤqətyelu, reša, xela, inan gabe","bod-áy sábaba, kullú má-t xázeт b-+televizyoná, tḥumáne qtíle, laylà u-tàxta u-+janibè."
eng_to_trg,gemini-flash,"For that reason, everything you see on the TV had the borders cut, top, bottom and sides.","bod-d-o mohona kud məndiğ xazetun ˤb-televizyon ˤhašye ˤqətyelu, reša, xela, inan gabe","bod-mằ, kullú mà-t g-TV xazyátte, marzéw +qatəyè-welu, m-rešà, m-šəpà-w, m-paltè."
eng_to_trg,llama-70b,"For that reason, everything you see on the TV had the borders cut, top, bottom and sides.","bod-d-o mohona kud məndiğ xazetun ˤb-televizyon ˤhašye ˤqətyelu, reša, xela, inan gabe","b-girya dex, kullú xa-máxta atwa b-télevizyon, ətwalé əl-takáyé, lə-ʔéla, lə-ḥəṭa, u-lə-palgiyé."
eng_to_trg,gpt-4o,"""It's going to behave like water. It's transparent just the way water is.",magon ˤmoe šula b-oda. bas bahurtela magon ˤmoe,bə́le +zəwaniew ki-màyà. bəśxār wəlān məxəlāpéen màyà.
eng_to_trg,claude-sonnet,"""It's going to behave like water. It's transparent just the way water is.",magon ˤmoe šula b-oda. bas bahurtela magon ˤmoe,rába d-màyyɛ g-xdirà. gəlyà hàxxɛ d-màyyɛ-š gəlyà.
eng_to_trg,gemini-flash,"""It's going to behave like water. It's transparent just the way water is.",magon ˤmoe šula b-oda. bas bahurtela magon ˤmoe,b-naxà m-gón mòe. šafàf-ile áy-jur kí mòe ilù.
eng_to_trg,llama-70b,"""It's going to behave like water. It's transparent just the way water is.",magon ˤmoe šula b-oda. bas bahurtela magon ˤmoe, Šəmāx pālāw māyā. šəmāx ṣāhir āwā government šəmāx māyā.
eng_to_trg,gpt-4o,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",əsri-w-tmanya šənne ˤvidal šarik wədwale gal ˤbarča m-seviya ˤtaha ˤfasle qamol,Vidal 28 šəmále g-ləṭilə Barcelonà šalòše +saninə mə-Sevilla.
eng_to_trg,claude-sonnet,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",əsri-w-tmanya šənne ˤvidal šarik wədwale gal ˤbarča m-seviya ˤtaha ˤfasle qamol,Vidal d-əsrì-u-tmanyà šənnè | tlata +mawasméw qamà | m-Sevilla l-Barça ədyélwa.
eng_to_trg,gemini-flash,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",əsri-w-tmanya šənne ˤvidal šarik wədwale gal ˤbarča m-seviya ˤtaha ˤfasle qamol,"Vidal əsrí-w tmanyà šənnè, m-Sevilla tlà dorkè qamáy +pə́šwa g-Barça."
eng_to_trg,llama-70b,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",əsri-w-tmanya šənne ˤvidal šarik wədwale gal ˤbarča m-seviya ˤtaha ˤfasle qamol,Vidal xa-kəsán təmānə ́šnin wədla xa-+šaré tlah snè | m-Sevilla | bārça wədla.
eng_to_trg,gpt-4o,"At the time of the award, Atlanta schools had seen a large improvement on test scores.",mədrašət ˤatlanta xzelu numrət ˤəntahanu ˤraba zədlu mənnət ˤwadət ˤjayza,"b-zmán d-áy pardasa, szkolà-ye Atalànta xəzyén +xá qəyyo +tənnsi da testé."
eng_to_trg,claude-sonnet,"At the time of the award, Atlanta schools had seen a large improvement on test scores.",mədrašət ˤatlanta xzelu numrət ˤəntahanu ˤraba zədlu mənnət ˤwadət ˤjayza,b-záman d-áy prixà| skúlat Atlanta xzélu xa-šúpra rába +gdola b-nəqaz ay-bəxšanè.|
eng_to_trg,gemini-flash,"At the time of the award, Atlanta schools had seen a large improvement on test scores.",mədrašət ˤatlanta xzelu numrət ˤəntahanu ˤraba zədlu mənnət ˤwadət ˤjayza,"g-šātət ay-pərsà, madrasət Atlanta +rāba +šupára gā́t dāné nəmre d-ituxyātə́-welu xəzyé."
eng_to_trg,llama-70b,"At the time of the award, Atlanta schools had seen a large improvement on test scores.",mədrašət ˤatlanta xzelu numrət ˤəntahanu ˤraba zədlu mənnət ˤwadət ˤjayza,"b-zmàn ay-+muhə́t, geziwa xa-nəxsànā Dadwà l-otāwā́nā b-Atlanta, šə́tətā́ +ràba ṣə́lahət b-+qreyàt d-tlàttē əl-mə́drāsē."
eng_to_trg,gpt-4o,"To finish, Turkish dance group Fire of Anatolia performed the show ""Troy"".","ba-paroqu, turkyayne raqlane “nurət ˤanatolya” ˤtamašət “ˤtroy” hwəllu","ša-+tumà, +qatūntkā d-türkā Fire of Anatolia bəxčə́lle šò ""Troy""."
eng_to_trg,claude-sonnet,"To finish, Turkish dance group Fire of Anatolia performed the show ""Troy"".","ba-paroqu, turkyayne raqlane “nurət ˤanatolya” ˤtamašət “ˤtroy” hwəllu","bəd-+šulmāyà| gurqát +rəqqodé ay-tùrkiye| ""Fire of Anatolia""| +mačzantā́| ""Troy""| maxéwalu.|"
eng_to_trg,gemini-flash,"To finish, Turkish dance group Fire of Anatolia performed the show ""Troy"".","ba-paroqu, turkyayne raqlane “nurət ˤanatolya” ˤtamašət “ˤtroy” hwəllu","ba-xalóse, qúmət +raqaset d-áy Turkey Fire of Anatolia tamúme +šùla d-áy ""Troy"" wə́dlu."
eng_to_trg,llama-70b,"To finish, Turkish dance group Fire of Anatolia performed the show ""Troy"".","ba-paroqu, turkyayne raqlane “nurət ˤanatolya” ˤtamašət “ˤtroy” hwəllu",bāra xa-riqsá tə́rki d-ay Anadōlə Fire of Anatolia gāt tāmłē Troya šə́rəwəlle |
eng_to_trg,gpt-4o,MetroRail has two classes on commuter trains in and around Cape Town: MetroPlus (also called First Class) and Metro (called Third Class).,ˤmetrorel tre daraje əttu g-qataret izalu idaylu gaət dowrət ˤkeptau: ˤmetroplus (hamiš kəmri darajət awwal) inan ˤmetro (kəmri ˤtahamənji daraja),MetroRail gé-čomútér +trenát za du clsów ba- Kap Tawná: MetroPlus (de-xwàn +Fést Clás) wa Metro (de-xwán +Şlisít Clás).
eng_to_trg,claude-sonnet,MetroRail has two classes on commuter trains in and around Cape Town: MetroPlus (also called First Class) and Metro (called Third Class).,ˤmetrorel tre daraje əttu g-qataret izalu idaylu gaət dowrət ˤkeptau: ˤmetroplus (hamiš kəmri darajət awwal) inan ˤmetro (kəmri ˤtahamənji daraja),məṭrorèl trè-darjé ítlu b-+qəṭrané d-ay-+daxlét d-ay-kàlka| g-Keyptawn u-xwəlàw:| məṭropləs (áw-iš mítqərre darjét qdamtà)| u-məṭrò (mítqərre darjét tlittà).
eng_to_trg,gemini-flash,MetroRail has two classes on commuter trains in and around Cape Town: MetroPlus (also called First Class) and Metro (called Third Class).,ˤmetrorel tre daraje əttu g-qataret izalu idaylu gaət dowrət ˤkeptau: ˤmetroplus (hamiš kəmri darajət awwal) inan ˤmetro (kəmri ˤtahamənji daraja),MetroRail-ət áy Cape Town tré dánke júre sìnf ət-qátre ìtle g-awelày-u xádərawnaw: MetroPlus (ki-pə́št-ila mərìta class-ət qamàyta) u-Metro (ki-pə́št-ila mərìta class-ət tàhata).
eng_to_trg,llama-70b,MetroRail has two classes on commuter trains in and around Cape Town: MetroPlus (also called First Class) and Metro (called Third Class).,ˤmetrorel tre daraje əttu g-qataret izalu idaylu gaət dowrət ˤkeptau: ˤmetroplus (hamiš kəmri darajət awwal) inan ˤmetro (kəmri ˤtahamənji daraja),Metroraylítwa lá-klasín treynót Gewwáriw b-Cape Town: Metropolis (ítwa lá-šəmát First Class) w-Metro (ítwa lá-šəmát Third Class).
eng_to_trg,gpt-4o,Unattended bags are a target for theft and can also attract attention from authorities wary of bomb threats.,kifət be-mara ˤnišanət ganowe ilu wa ˤmseni ˤtawwajohət komserət ki zadulu m-tahdidət ˤbombe,+šqụnpə́náš žubátəx kaftə́r honə́š l-əbganà| idáw-ela-w xan tágdidə šməmjar.
eng_to_trg,claude-sonnet,Unattended bags are a target for theft and can also attract attention from authorities wary of bomb threats.,kifət be-mara ˤnišanət ganowe ilu wa ˤmseni ˤtawwajohət komserət ki zadulu m-tahdidət ˤbombe,xurjané d-lə́t nóše gábayyu| həddé-ne l-gannàbe| w-ax-hàw| msayybíne ki-dəmxáltu nóše d-šultané d-záyfe-ne m-gèl tarmitə d-pumbé.
eng_to_trg,gemini-flash,Unattended bags are a target for theft and can also attract attention from authorities wary of bomb threats.,kifət be-mara ˤnišanət ganowe ilu wa ˤmseni ˤtawwajohət komserət ki zadulu m-tahdidət ˤbombe,sandūqé ya kisté pìše | d-la-măni-t dāré báalu bàl | hadăf-ilé báat ganawùta | u-măssí-š xadora-welù báat +bal-madeta d-áy hukmăt d-áy +qəšyé d-áy bombè.
eng_to_trg,llama-70b,Unattended bags are a target for theft and can also attract attention from authorities wary of bomb threats.,kifət be-mara ˤnišanət ganowe ilu wa ˤmseni ˤtawwajohət komserət ki zadulu m-tahdidət ˤbombe,xarawe ła-maqyuwa kərewe tərgeman lə-ɣəpə ʔiwwa u-ｒəssamə awtorité mənnux ɣəp raessler lə-pumba |
trg_to_eng,gpt-4o,"lezli ˤan, maqyantət ˤkomen ˤfaundešən, məra ˤsazman qbəlla xalta ˤqayda ki ˤijaza la-hiwala ki fəsse ˤmaya hawile ba-d-une ˤsazmanət ki baat xaqira ilu","Leslie Aun, a spokesperson for the Komen Foundation, said the organization adopted a new rule that does not allow grants or funding to be awarded to organizations that are under legal investigation.",I did not believe that the Foundation of the Community Council would meet to take money that had been given to them for the purpose of investigation.
trg_to_eng,claude-sonnet,"lezli ˤan, maqyantət ˤkomen ˤfaundešən, məra ˤsazman qbəlla xalta ˤqayda ki ˤijaza la-hiwala ki fəsse ˤmaya hawile ba-d-une ˤsazmanət ki baat xaqira ilu","Leslie Aun, a spokesperson for the Komen Foundation, said the organization adopted a new rule that does not allow grants or funding to be awarded to organizations that are under legal investigation.","They went away; according to the Foundation's rules, the organization had received a new regulation that permission was not given to distribute water funds to those organizations that are for research purposes."
trg_to_eng,gemini-flash,"lezli ˤan, maqyantət ˤkomen ˤfaundešən, məra ˤsazman qbəlla xalta ˤqayda ki ˤijaza la-hiwala ki fəsse ˤmaya hawile ba-d-une ˤsazmanət ki baat xaqira ilu","Leslie Aun, a spokesperson for the Komen Foundation, said the organization adopted a new rule that does not allow grants or funding to be awarded to organizations that are under legal investigation.","Leslie Ann, the speaker for the Coleman Foundation, said the organization has adopted/accepted a standard rule that has not given permission for water money (funding) to be given to those organizations that are for research."
trg_to_eng,llama-70b,"lezli ˤan, maqyantət ˤkomen ˤfaundešən, məra ˤsazman qbəlla xalta ˤqayda ki ˤijaza la-hiwala ki fəsse ˤmaya hawile ba-d-une ˤsazmanət ki baat xaqira ilu","Leslie Aun, a spokesperson for the Komen Foundation, said the organization adopted a new rule that does not allow grants or funding to be awarded to organizations that are under legal investigation.","This month, our foundation is going to establish a new organization, which we have named ""Qayda"" in order to help those who cannot afford to pay for water that our organization will bring to their homes."
trg_to_eng,gpt-4o,"xen xabar hiwala gaat ingəlisi inan ˤžapani, ˤsazman ˤjahani ˤbarname ˤbašlamiš wada b-lišanət ˤəspanyayne, ˤətalyayne, inan ˤkoreayne ˤba-televəzyon, ˤradio, inan ˤtelefone ˤmobil","Already reporting in English and Japanese, the global organization is launching Spanish, Italian, and Korean-language programs, for television, the web, and mobile devices.","A certain news announcement was given in English and Japanese, and the international organization prepared a program in Spanish, Italian, and Korean on television, radio, and mobile phone."
trg_to_eng,claude-sonnet,"xen xabar hiwala gaat ingəlisi inan ˤžapani, ˤsazman ˤjahani ˤbarname ˤbašlamiš wada b-lišanət ˤəspanyayne, ˤətalyayne, inan ˤkoreayne ˤba-televəzyon, ˤradio, inan ˤtelefone ˤmobil","Already reporting in English and Japanese, the global organization is launching Spanish, Italian, and Korean-language programs, for television, the web, and mobile devices.","Then the news was given in English and Japanese; a world organization began a program in Spanish, Italian, and Korean on television, radio, and mobile phone."
trg_to_eng,gemini-flash,"xen xabar hiwala gaat ingəlisi inan ˤžapani, ˤsazman ˤjahani ˤbarname ˤbašlamiš wada b-lišanət ˤəspanyayne, ˤətalyayne, inan ˤkoreayne ˤba-televəzyon, ˤradio, inan ˤtelefone ˤmobil","Already reporting in English and Japanese, the global organization is launching Spanish, Italian, and Korean-language programs, for television, the web, and mobile devices.","Other news was given in English and Japanese: the international organization has started the program in the Spanish, Italian, and Korean languages for television, radio, and mobile phones."
trg_to_eng,llama-70b,"xen xabar hiwala gaat ingəlisi inan ˤžapani, ˤsazman ˤjahani ˤbarname ˤbašlamiš wada b-lišanət ˤəspanyayne, ˤətalyayne, inan ˤkoreayne ˤba-televəzyon, ˤradio, inan ˤtelefone ˤmobil","Already reporting in English and Japanese, the global organization is launching Spanish, Italian, and Korean-language programs, for television, the web, and mobile devices.","Good news was given that the international organization has broadcast programs in the Spanish, Italian, and Korean languages on television, radio, and mobile phone."
trg_to_eng,gpt-4o,"g-d-ay ˤrezonans, ˤmidan ˤmağnatisi inan ˤamwajət ˤradio god ˤatome ˤsəgnalət ˤradio zore ˤpaltilu","In this resonance, magnetic field and radio waves cause atoms to give off tiny radio signals.","In resonance, the electromagnetic waves generate radio waves and the radio signals spread."
trg_to_eng,claude-sonnet,"g-d-ay ˤrezonans, ˤmidan ˤmağnatisi inan ˤamwajət ˤradio god ˤatome ˤsəgnalət ˤradio zore ˤpaltilu","In this resonance, magnetic field and radio waves cause atoms to give off tiny radio signals.","In resonance, magnetic fields and radio waves cause atoms to emit weak radio signals."
trg_to_eng,gemini-flash,"g-d-ay ˤrezonans, ˤmidan ˤmağnatisi inan ˤamwajət ˤradio god ˤatome ˤsəgnalət ˤradio zore ˤpaltilu","In this resonance, magnetic field and radio waves cause atoms to give off tiny radio signals.","In that resonance, magnetic fields and radio waves make atoms emit small radio signals."
trg_to_eng,llama-70b,"g-d-ay ˤrezonans, ˤmidan ˤmağnatisi inan ˤamwajət ˤradio god ˤatome ˤsəgnalət ˤradio zore ˤpaltilu","In this resonance, magnetic field and radio waves cause atoms to give off tiny radio signals.","In the resonance, the magnetic field is waves, the radio gives out radio signals, small signals."
trg_to_eng,gpt-4o,"bod-d-o mohona kud məndiğ xazetun ˤb-televizyon ˤhašye ˤqətyelu, reša, xela, inan gabe","For that reason, everything you see on the TV had the borders cut, top, bottom and sides.",Everything that I saw on television happening there is true.
trg_to_eng,claude-sonnet,"bod-d-o mohona kud məndiğ xazetun ˤb-televizyon ˤhašye ˤqətyelu, reša, xela, inan gabe","For that reason, everything you see on the TV had the borders cut, top, bottom and sides.","Because of this, every thing you see on television has been cut up, the head, the tail, the in-between parts."
trg_to_eng,gemini-flash,"bod-d-o mohona kud məndiğ xazetun ˤb-televizyon ˤhašye ˤqətyelu, reša, xela, inan gabe","For that reason, everything you see on the TV had the borders cut, top, bottom and sides.","For that reason, everything that you see on television is censored (cut); the beginning, the end, and they want it (that way)."
trg_to_eng,llama-70b,"bod-d-o mohona kud məndiğ xazetun ˤb-televizyon ˤhašye ˤqətyelu, reša, xela, inan gabe","For that reason, everything you see on the TV had the borders cut, top, bottom and sides.","Why is it that wherever you look on television, you see only heads, carnage, and killings?"
trg_to_eng,gpt-4o,magon ˤmoe šula b-oda. bas bahurtela magon ˤmoe,"""It's going to behave like water. It's transparent just the way water is.",The place is not like that. But the young girl is at the place.
trg_to_eng,claude-sonnet,magon ˤmoe šula b-oda. bas bahurtela magon ˤmoe,"""It's going to behave like water. It's transparent just the way water is.","like the work done in water. But she was a young girl, like the water."
trg_to_eng,gemini-flash,magon ˤmoe šula b-oda. bas bahurtela magon ˤmoe,"""It's going to behave like water. It's transparent just the way water is.",It functions like water. But it is clear like water.
trg_to_eng,llama-70b,magon ˤmoe šula b-oda. bas bahurtela magon ˤmoe,"""It's going to behave like water. It's transparent just the way water is.",The work was not done in the room. But the young woman did the work.
trg_to_eng,gpt-4o,əsri-w-tmanya šənne ˤvidal šarik wədwale gal ˤbarča m-seviya ˤtaha ˤfasle qamol,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.","He served as a partner for twenty-eight years until spring, then he left."
trg_to_eng,claude-sonnet,əsri-w-tmanya šənne ˤvidal šarik wədwale gal ˤbarča m-seviya ˤtaha ˤfasle qamol,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.","Twenty-eight years ago, Avidal partnered with Barcha from Sevilla, three seasons before."
trg_to_eng,gemini-flash,əsri-w-tmanya šənne ˤvidal šarik wədwale gal ˤbarča m-seviya ˤtaha ˤfasle qamol,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.","For twenty-eight years, Vidal had been a partner with a portion of Seville for the past three seasons."
trg_to_eng,llama-70b,əsri-w-tmanya šənne ˤvidal šarik wədwale gal ˤbarča m-seviya ˤtaha ˤfasle qamol,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.","In the year eighteen hundred and twenty, they made and worked on a piece of material from silk in the previous winter."
trg_to_eng,gpt-4o,mədrašət ˤatlanta xzelu numrət ˤəntahanu ˤraba zədlu mənnət ˤwadət ˤjayza,"At the time of the award, Atlanta schools had seen a large improvement on test scores.","The leaders of Atlanta saw that they faced a significant challenge, and they decided to consider a strategy."
trg_to_eng,claude-sonnet,mədrašət ˤatlanta xzelu numrət ˤəntahanu ˤraba zədlu mənnət ˤwadət ˤjayza,"At the time of the award, Atlanta schools had seen a large improvement on test scores.",The Atlanta school saw that their number had greatly increased from it and won a prize.
trg_to_eng,gemini-flash,mədrašət ˤatlanta xzelu numrət ˤəntahanu ˤraba zədlu mənnət ˤwadət ˤjayza,"At the time of the award, Atlanta schools had seen a large improvement on test scores.",The Midrash of Atlanta saw their exam scores and they increased significantly since making the prize.
trg_to_eng,llama-70b,mədrašət ˤatlanta xzelu numrət ˤəntahanu ˤraba zədlu mənnət ˤwadət ˤjayza,"At the time of the award, Atlanta schools had seen a large improvement on test scores.",The teachers of Atlanta saw that the students had very much forgotten what they had learned.
trg_to_eng,gpt-4o,"ba-paroqu, turkyayne raqlane “nurət ˤanatolya” ˤtamašət “ˤtroy” hwəllu","To finish, Turkish dance group Fire of Anatolia performed the show ""Troy"".","In the early morning, the Turks watched “Fiddler on the Roof” called ""Theater""."
trg_to_eng,claude-sonnet,"ba-paroqu, turkyayne raqlane “nurət ˤanatolya” ˤtamašət “ˤtroy” hwəllu","To finish, Turkish dance group Fire of Anatolia performed the show ""Troy"".","At the parade, the Turks performed the ""Light of Anatolia"" and watched ""Troy."""
trg_to_eng,gemini-flash,"ba-paroqu, turkyayne raqlane “nurət ˤanatolya” ˤtamašət “ˤtroy” hwəllu","To finish, Turkish dance group Fire of Anatolia performed the show ""Troy"".","For the savior, the Turkish dancers of ""Fire of Anatolia"" gave a performance of ""Troy""."
trg_to_eng,llama-70b,"ba-paroqu, turkyayne raqlane “nurət ˤanatolya” ˤtamašət “ˤtroy” hwəllu","To finish, Turkish dance group Fire of Anatolia performed the show ""Troy"".","In Baroque, Turkish dancers danced ""Nurət ˤAnatolya"" and performed ""ˤTroy"" for them."
trg_to_eng,gpt-4o,ˤmetrorel tre daraje əttu g-qataret izalu idaylu gaət dowrət ˤkeptau: ˤmetroplus (hamiš kəmri darajət awwal) inan ˤmetro (kəmri ˤtahamənji daraja),MetroRail has two classes on commuter trains in and around Cape Town: MetroPlus (also called First Class) and Metro (called Third Class).,"Two subway lines go within the framework of ""keptau"": Metroplus (first line with five vehicles) and Metro (eighth line)."
trg_to_eng,claude-sonnet,ˤmetrorel tre daraje əttu g-qataret izalu idaylu gaət dowrət ˤkeptau: ˤmetroplus (hamiš kəmri darajət awwal) inan ˤmetro (kəmri ˤtahamənji daraja),MetroRail has two classes on commuter trains in and around Cape Town: MetroPlus (also called First Class) and Metro (called Third Class).,They boarded two classes that were on the train and went and arrived at the upper deck area: MetroPlus (five compartments of first class) and Metro (the remaining third-class compartments).
trg_to_eng,gemini-flash,ˤmetrorel tre daraje əttu g-qataret izalu idaylu gaət dowrət ˤkeptau: ˤmetroplus (hamiš kəmri darajət awwal) inan ˤmetro (kəmri ˤtahamənji daraja),MetroRail has two classes on commuter trains in and around Cape Town: MetroPlus (also called First Class) and Metro (called Third Class).,The metro has two classes in the trains going and coming in the Paris region: Metroplus (they always say first class) and Metro (they say third class).
trg_to_eng,llama-70b,ˤmetrorel tre daraje əttu g-qataret izalu idaylu gaət dowrət ˤkeptau: ˤmetroplus (hamiš kəmri darajət awwal) inan ˤmetro (kəmri ˤtahamənji daraja),MetroRail has two classes on commuter trains in and around Cape Town: MetroPlus (also called First Class) and Metro (called Third Class).,"They threw him out of the room and his parents went to the chief of police: the chief of police (who was of the first rank) told him, the police chief (who was of the third rank)"
trg_to_eng,gpt-4o,kifət be-mara ˤnišanət ganowe ilu wa ˤmseni ˤtawwajohət komserət ki zadulu m-tahdidət ˤbombe,Unattended bags are a target for theft and can also attract attention from authorities wary of bomb threats.,Suddenly they came and bombed the police station with an explosive threat.
trg_to_eng,claude-sonnet,kifət be-mara ˤnišanət ganowe ilu wa ˤmseni ˤtawwajohət komserət ki zadulu m-tahdidət ˤbombe,Unattended bags are a target for theft and can also attract attention from authorities wary of bomb threats.,The police chief was informed that the thieves are there and was able to arrest the commissioner who was threatened by the bomb.
